word,meaning,example
serious,严肃的；严重的,Serious matter.
servant,仆人；佣人,The servant.
serve,服务；招待,Serve the customers.
service,服务；维修,Good service.
session,会议；会期,The session.
set,放置；一套,Set the table.
settle,解决；定居,Settle the dispute.
seven,七；七个,Seven days.
several,几个；数个,Several times.
severe,严厉的；剧烈的,Severe pain.
sex,性别；性,The sex.
shade,阴凉处；阴影,In the shade.
shadow,影子；阴影,The shadow.
shake,摇动；震动,Shake hands.
shall,将；应该,Shall we go?
shallow,浅的；肤浅的,Shallow water.
shame,羞愧；遗憾,What a shame.
shape,形状；外形,The shape.
share,分享；股份,Share with.
sharp,锋利的；敏锐的,Sharp knife.
shave,剃；刮,Shave the beard.
she,她,She is kind.
sheep,羊；绵羊,The sheep grazes.
sheet,被单；薄片,A sheet of.
shelf,架子；搁板,On the shelf.
shell,壳；贝壳,The shell.
shelter,庇护所；避难所,Seek shelter.
shine,照耀；发光,The sun shines.
ship,船；船舶,The ship sails.
shirt,衬衫；男衫,Wear a shirt.
shock,震动；震惊,The shock.
shoe,鞋；鞋子,Put on shoes.
shoot,射击；拍摄,Shoot the target.
shop,商店；购物,Go shopping.
shore,岸；滨,On the shore.
short,短的；矮的,Short hair.
shot,射击；尝试,Take a shot.
should,应该；将会,You should.
shoulder,肩膀；肩部,On my shoulder.
shout,呼喊；大叫,Don't shout.
show,显示；演出,Show me.
shower,淋浴；阵雨,Take a shower.
shut,关闭；关上,Shut the door.
shy,害羞的；腼腆的,Shy girl.
sick,生病的；恶心的,Feel sick.
side,边；侧面,By my side.
sight,视力；景象,At first sight.
sign,符号；标志,Traffic sign.
signal,信号；发信号,Traffic signal.
signature,签名；署名,Your signature.
significance,意义；重要性,Great significance.
silent,沉默的；寂静的,Be silent.
silk,丝；丝绸,Silk dress.
silly,愚蠢的；傻的,Don't be silly.
silver,银；银色,Silver medal.
similar,相似的；类似的,Similar to.
simple,简单的；简朴的,Simple life.
simply,简单地；仅仅,Simply put.
sin,罪；罪恶,Commit a sin.
since,自从；既然,Since then.
sincere,真诚的；诚挚的,Sincere apology.
sing,唱；唱歌,Sing a song.
singer,歌手；歌唱家,The singer.
single,单一的；单身的,Single room.
sink,水槽；下沉,The ship sinks.
sir,先生；阁下,Dear sir.
sister,姐妹；修女,My sister.
sit,坐；就座,Sit down.
site,地点；场所,The site.
situation,情况；形势,The situation.
six,六；六个,Six people.
size,大小；尺寸,What size?
skill,技能；技巧,Have skill.
skin,皮肤；外皮,The skin.
skirt,裙子；边缘,Wear a skirt.
sky,天空；天际,The blue sky.
slave,奴隶；苦工,The slave.
sleep,睡觉；睡眠,Go to sleep.
sleeve,袖子；袖套,The sleeve.
slice,薄片；切片,A slice of.
slide,滑动；幻灯片,Slide down.
slight,轻微的；纤细的,Slight difference.
slip,滑倒；失误,Slip on.
slow,慢的；缓慢的,Slow down.
small,小的；少的,Small house.
smart,聪明的；时髦的,Smart phone.
smell,闻；气味,Smell the flower.
smile,微笑；笑容,Smile please.
smoke,烟；吸烟,Don't smoke.
smooth,光滑的；平稳的,Smooth surface.
snake,蛇；阴险的人,The snake.
snow,雪；下雪,It snows.
so,所以；这么,So good.
soap,肥皂；香皂,Use soap.
soccer,足球,Play soccer.
social,社会的；社交的,Social media.
society,社会；社团,The society.
sock,短袜,Wear socks.
soft,软的；温柔的,Soft touch.
software,软件；程序,Computer software.
soil,土壤；土地,The soil.
solar,太阳的；日光的,Solar energy.
soldier,士兵；军人,The soldier.
sole,单独的；唯一的,The sole purpose.
solid,固体的；坚固的,Solid ground.
solution,解决方案；溶解,The solution.
solve,解决；解答,Solve the problem.
some,一些；某个,Some people.
somebody,某人；有人,Somebody called.
somehow,以某种方式；不知怎么,Somehow.
someone,某人；有人,Someone is here.
something,某事；某物,Something special.
sometimes,有时；间或,Sometimes.
somewhere,在某处；到某处,Somewhere.
son,儿子；孩子,My son.
song,歌曲；歌唱,Sing a song.
soon,不久；很快,See you soon.
sore,疼痛的；痛心的,Sore throat.
sorry,对不起；抱歉的,I'm sorry.
sort,种类；分类,What sort?
soul,灵魂；心灵,The soul.
sound,声音；听起来,The sound.
soup,汤；羹,Eat soup.
sour,酸的；馊的,Sour taste.
south,南；南方,Go south.
southern,南方的；南部的,Southern Europe.
space,空间；太空,Outer space.
spade,铲；锹,Dig with a spade.
spare,多余的；备用,Spare time.
speak,说话；演讲,Speak English.
speaker,演讲者；扬声器,The speaker.
special,特别的；专门的,Special offer.
species,物种；种类,The species.
specific,具体的；特定的,Specific details.
speech,演讲；言语,Give a speech.
speed,速度；迅速,High speed.
spell,拼写；咒语,Spell the word.
spend,花费；度过,Spend time.
sphere,球；球体,The sphere.
spider,蜘蛛；设圈套者,The spider.
spin,旋转；纺纱,Spin around.
spirit,精神；心灵,The spirit.
spit,吐痰；吐出,Don't spit.
splash,溅；泼水,Splash water.
split,分裂；劈开,Split the wood.
spoil,损坏；溺爱,Don't spoil.
spoon,匙；调羹,Use a spoon.
sport,运动；游戏,Play sport.
spot,地点；斑点,On the spot.
spray,喷雾；飞沫,Spray paint.
spread,传播；展开,Spread the news.
spring,春天；弹簧,In spring.
square,正方形；广场,Tian'anmen Square.
squeeze,挤；压榨,Squeeze the lemon.
stable,稳定的；马厩,Stable condition.
staff,全体职员；棍棒,The staff.
stage,阶段；舞台,On stage.
stair,楼梯；梯级,Climb the stair.
stake,桩；赌注,At stake.
stamp,邮票；印章,Collect stamps.
stand,站立；忍受,Stand up.
standard,标准；规格,High standard.
star,星；明星,The star shines.
stare,凝视；盯着看,Stare at.
start,开始；出发,Start now.
starve,饿死；挨饿,Starve to death.
state,国家；州；陈述,The state.
station,车站；站,Train station.
statistic,统计；统计数值,The statistic.
status,地位；状态,The status.
stay,停留；保持,Stay here.
steady,稳定的；稳固,Steady hand.
steal,偷；窃取,Don't steal.
steam,蒸汽；水蒸气,The steam.
steel,钢；钢铁,Steel structure.
steep,陡峭的；急剧的,Steep hill.
steer,驾驶；掌舵,Steer the car.
stem,茎；干,The stem.
step,脚步；步骤,Take a step.
stick,棍；粘贴,Stick it on.
still,仍然；静止,Still waiting.
sting,刺；蜇,The bee stings.
stir,搅动；轰动,Stir the coffee.
stock,股票；库存,The stock.
stomach,胃；腹部,My stomach.
stone,石头；宝石,A stone.
stop,停止；车站,Stop here.
store,商店；储存,Go to store.
storm,暴风雨；风暴,The storm.
story,故事；小说,Tell a story.
stove,炉子；火炉,The stove.
straight,直的；直接的,Go straight.
strange,奇怪的；陌生的,Strange thing.
stranger,陌生人；外来者,The stranger.
strategy,战略；策略,The strategy.
straw,稻草；吸管,Drink with a straw.
stream,溪流；流动,The stream.
street,街道；马路,On the street.
strength,力量；实力,Physical strength.
stress,压力；强调,Under stress.
stretch,伸展；延伸,Stretch out.
strict,严格的；严厉的,Strict teacher.
strike,打击；罢工,Strike the match.
string,线；细绳,A string.
strip,条；带状,Strip of.
stroke,中风；击打,Have a stroke.
strong,强壮的；坚强的,Strong man.
struggle,斗争；奋斗,Struggle for.
student,学生；学者,Be a student.
studio,工作室；演播室,Art studio.
study,学习；研究,Study hard.
stuff,东西；填充,The stuff.
stupid,愚蠢的；迟钝的,Don't be stupid.
style,风格；样式,The style.
subject,主题；科目,The subject.
submit,提交；服从,Submit the form.
subscribe,订阅；签署,Subscribe to.
substance,物质；实质,The substance.
substitute,代替；代用品,Substitute for.
subtract,减去；减,Subtract one.
suburb,郊区；郊外,Live in the suburb.
succeed,成功；继承,Succeed in.
success,成功；成就,Great success.
successful,成功的；有成就的,Successful person.
such,这样的；如此,Such as.
suck,吸；吮,Suck the juice.
sudden,突然的；意外的,Sudden change.
suffer,遭受；忍受,Suffer from.
sugar,糖；糖块,Add sugar.
suggest,建议；暗示,Suggest a plan.
suggestion,建议；提议,Good suggestion.
suit,适合；套装,The suit.
suitable,合适的；适宜的,Suitable for.
suite,套间；一套家具,The suite.
sum,总数；总和,The sum.
summary,摘要；总结,In summary.
summer,夏天；夏季,In summer.
sun,太阳；阳光,The sun.
Sunday,星期日,On Sunday.
sunny,晴朗的；阳光充足的,Sunny day.
sunshine,阳光；日照,The sunshine.
super,极好的；超级的,Super good.
superior,优越的；上级,Superior quality.
supermarket,超级市场,Shop at supermarket.
supply,供应；供给,Supply the need.
support,支持；支撑,Support the family.
suppose,假设；认为,I suppose.
suppress,镇压；抑制,Suppress the rebellion.
sure,确信的；肯定的,Sure thing.
surface,表面；外观,The surface.
surgeon,外科医生,The surgeon.
surgery,外科；手术室,Have surgery.
surplus,过剩；剩余,Surplus goods.
surprise,惊奇；使诧异,What a surprise!
surrender,投降；屈服,Surrender.
surround,包围；环绕,Surround the city.
surroundings,环境；周围的事物,The surroundings.
survey,调查；测量,Conduct a survey.
survival,生存；幸存,Survival of the fittest.
survive,幸存；活下来,Survive the accident.
suspect,怀疑；嫌疑犯,Suspect the motive.
suspend,暂停；悬,The meeting is suspended.
suspicion,怀疑；嫌疑,Under suspicion.
swallow,吞；咽,Swallow the pill.
swear,发誓；咒骂,Swear to.
sweat,汗；出汗,Sweat.
sweater,毛衣；运动衫,Wear a sweater.
sweep,扫；扫除,Sweep the floor.
sweet,甜的；可爱的,Sweet dream.
swell,肿胀；膨胀,The ankle swells.
swift,快的；迅速的,Swift action.
swim,游泳；游,Swim in the pool.
swing,摇摆；秋千,Swing on.
switch,开关；转换,Switch on.
sword,剑；刀,The sword.
symbol,符号；象征,The symbol.
sympathy,同情；同情心,Show sympathy.
system,系统；制度,The system.
table,桌子；表格,On the table.
tablet,药片；碑,Take a tablet.
tail,尾巴；尾部,The tail.
tailor,裁缝；裁剪,The tailor.
take,拿；取,Take it.
tale,故事；传说,Tell a tale.
talent,才能；天才,Have talent.
talk,谈话；演讲,Talk to me.
tall,高的；高大的,Tall building.
tank,坦克；油箱,The tank.
tap,轻拍；水龙头,Turn on the tap.
tape,磁带；胶带,Recording tape.
target,目标；靶子,Hit the target.
task,任务；工作,Complete the task.
taste,味道；品味,Taste the food.
tax,税；税款,Pay tax.
tea,茶；茶叶,Drink tea.
teach,教；讲授,Teach English.
teacher,教师；导师,My teacher.
team,队；组,The team.
tear,眼泪；撕破,The tear.
tease,取笑；戏弄,Don't tease.
technical,技术的；工艺的,Technical skill.
technique,技术；技巧,The technique.
technology,技术；工艺,Modern technology.
teenager,青少年，The teenager.
telephone,电话；打电话,Answer the telephone.
telescope,望远镜；看远镜,Look through the telescope.
television,电视；电视机,Watch television.
tell,告诉；讲述,Tell me.
temperature,温度；体温,The temperature.
temple,寺庙；神殿,The temple.
temporary,暂时的；临时的,Temporary job.
tempt,诱惑；引诱,Tempt me.
ten,十；十个,Ten fingers.
tend,倾向；照料,Tend to.
tendency,倾向；趋势,The tendency.
tennis,网球,Play tennis.
tense,紧张的；拉紧的,Tense situation.
tent,帐篷；寓所,The tent.
term,术语；学期,The term.
terrible,可怕的；糟糕的,Terrible mistake.
terrify,使害怕；使恐怖,Terrify the enemy.
test,测试；试验,Take a test.
text,课文；文本,The text.
textile,纺织品；纺织业,The textile.
than,比；比较,Better than.
thank,感谢；谢谢,Thank you.
that,那；那个,That is.
the,这；那,The book.
theater,戏院；剧场,Go to theater.
theft,盗窃；偷窃,Commit theft.
their,他们的；她们的,Their house.
theirs,他们的；她们的,The house is theirs.
them,他们；她们；它们,Give it to them.
theme,主题；题目,The theme.
themselves,他们自己,They did it themselves.
then,然后；当时,And then.
theory,理论；原理,The theory.
there,那里；在那边,Over there.
therefore,因此；所以,Therefore.
thermos,热水瓶；保温瓶,The thermos.
these,这些；这些,These books.
they,他们；她们；它们,They are.
thick,厚的；浓的,Thick book.
thief,小偷；贼,The thief.
thin,薄的；瘦的,Thin paper.
thing,东西；事情,The thing.
think,想；认为,Think about.
third,第三；三分之一,The third.
thirst,渴；口渴,Feel thirst.
thirsty,口渴的；渴望的,Feel thirsty.
thirteen,十三；十三个,Thirteen.
thirty,三十；三十个,Thirty.
this,这；这个,This is.
thorn,刺；荆棘,The thorn.
thorough,彻底的；完全的,Thorough cleaning.
those,那些；那些人,Those books.
though,虽然；尽管,Though tired.
thought,思想；想法,The thought.
thousand,千；一千个,A thousand.
thread,线；线索,The thread.
threat,威胁；恐吓,The threat.
threaten,威胁；恐吓,Threaten to.
three,三；三个,Three people.
throat,喉咙；咽喉,Sore throat.
through,穿过；通过,Go through.
throughout,遍及；自始至终,Throughout the day.
throw,投；掷,Throw the ball.
thunder,雷；雷声,The thunder.
Thursday,星期四,On Thursday.
thus,因此；从而,Thus.
tick,记号；滴答声,Put a tick.
ticket,票；入场券,Buy a ticket.
tide,潮汐；潮流,The tide.
tidy,整洁的；整齐的,Keep tidy.
tie,系；领带,Tie the knot.
tiger,老虎；虎,The tiger.
tight,紧的；紧密的,Tight fit.
till,直到；耕种,Till tomorrow.
time,时间；时代,The time.
tin,锡；罐头,A tin.
tiny,极小的；微小的,A tiny.
tip,尖端；小费,Leave a tip.
tire,轮胎；疲倦,The tire.
tired,疲倦的；厌倦的,Feel tired.
title,标题；头衔,The title.
to,向；朝,Go to.
toast,烤面包；敬酒,Eat toast.
today,今天；现今,Today.
toe,脚趾；足尖,The toe.
together,一起；共同,Work together.
toilet,厕所；盥洗室,Go to toilet.
tolerate,容忍；忍受,Tolerate the noise.
tomato,西红柿；番茄,Eat tomato.
tomb,坟墓；冢,The tomb.
tomorrow,明天；明日,See you tomorrow.
ton,吨；大量,One ton.
tongue,舌头；语言,The tongue.
tonight,今晚；今夜,Tonight.
too,也；太,Me too.
tool,工具；用具,The tool.
tooth,牙齿；齿,The tooth.
top,顶部；上面,On top.
topic,题目；话题,The topic.
total,总数；合计,The total.
touch,接触；触摸,Touch me.
tough,坚韧的；困难的,Tough job.
tour,旅游；观光,Go on tour.
tourist,旅游者；观光者,The tourist.
toward,向；朝,Walk toward.
towards,向；对于,Walk towards.
towel,毛巾；手巾,The towel.
tower,塔；高楼,The tower.
town,城镇；市镇,The town.
toy,玩具；玩物,The toy.
trace,痕迹；追踪,The trace.
track,轨道；足迹,The track.
trade,贸易；交易,International trade.
tradition,传统；惯例,The tradition.
traditional,传统的；惯例的,Traditional food.
traffic,交通；往来,Traffic light.
tragedy,悲剧；惨案,The tragedy.
trail,痕迹；小径,The trail.
train,火车；训练,Take the train.
training,训练；培训,The training.
transfer,转移；转车,Transfer to.
transform,转变；改造,Transform into.
translate,翻译；解释,Translate the text.
translation,翻译；译文,The translation.
translator,翻译；译员,The translator.
transparent,透明的；显然的,Transparent glass.
transport,运输；运送,Transport goods.
trap,陷阱；圈套,The trap.
travel,旅行；游历,Travel the world.
tray,托盘；盘子,The tray.
treat,对待；治疗,Treat me.
treatment,治疗；对待,The treatment.
treaty,条约；协定,The treaty.
tree,树；树木,The tree.
tremble,颤抖；发抖,Tremble with.
trend,趋势；倾向,The trend.
trial,审判；试验,The trial.
triangle,三角形；三角关系,The triangle.
trick,诡计；窍门,Play a trick.
trip,旅行；绊倒,Take a trip.
troop,军队；一群,The troop.
trouble,麻烦；烦恼,In trouble.
trousers,裤子；长裤,Wear trousers.
truck,卡车；货车,The truck.
true,真实的；真正的,True story.
truly,真正地；真实地,Truly yours.
trunk,树干；象鼻,The trunk.
trust,信任；信赖,Trust me.
truth,真理；真相,The truth.
try,尝试；努力,Try again.
tube,管；管子,The tube.
Tuesday,星期二,On Tuesday.
tune,曲调；调子,The tune.
tunnel,隧道；坑道,The tunnel.
turn,转动；转弯,Turn around.
TV,电视；电视机,Watch TV.
twelve,十二；十二个,Twelve.
twenty,二十；二十个,Twenty.
twice,两次；两倍,Twice.
twin,双胞胎之一；孪生,The twin.
twist,扭曲；蜿蜒,Twist the cap.
two,二；两个,Two people.
type,类型；打字,The type.
typical,典型的；有代表性的,Typical example.
typist,打字员；打字者,The typist.
tyre,轮胎；车胎,The tyre.
ugly,丑陋的；难看的,Ugly duckling.
ultimate,最终的；根本的,The ultimate.
umbrella,伞；雨伞,The umbrella.
unable,不能的；不会的,Unable to.
uncle,叔；伯；舅,My uncle.
uncomfortable,不舒服的；不自在的,Feel uncomfortable.
under,在...下面；少于,Under the table.
understand,理解；懂得,Understand me.
understanding,理解；谅解,The understanding.
undertake,承担；从事,Undertake the task.
undo,解开；取消,Undo the button.
unemployment,失业；失业人数,The unemployment.
uniform,制服；一致的,The uniform.
union,联盟；联合,The union.
unique,唯一的；独特的,Unique.
unit,单位；单元,The unit.
unite,联合；团结,Unite together.
unity,团结；统一,The unity.
universe,宇宙；万物,The universe.
university,大学；综合性大学,Go to university.
unknown,未知的；不出名的,Unknown.
unless,除非；如果不,Unless.
unlike,不像；和...不同,Unlike.
until,直到...为止，Until now.
unusual,不寻常的；独特的,Unusual.
up,向上；在上,Go up.
upon,在...之上,Once upon.
upper,上面的；上部的,The upper.
upset,心烦的；弄翻,Feel upset.
upstairs,在楼上；往楼上,Go upstairs.
urban,城市的；都市的,Urban area.
urge,催促；强烈要求,Urge to.
urgent,紧急的；急迫的,Urgent matter.
us,我们（宾格）,Give it to us.
use,使用；利用,Use it.
used,用过的；习惯于,Used to.
useful,有用的；有益的,Useful.
user,用户；使用者,The user.
usual,通常的；平常的,As usual.
usually,通常；平常,Usually.
utility,效用；公用事业,The utility.
utilize,利用；使用,Utilize the resource.
utter,完全的；说出,The utter.
vacation,假期；休假,On vacation.
vacant,空的；空缺的,The vacant.
vague,模糊的；含糊的,Vague idea.
vain,徒然的；虚荣的,In vain.
valley,山谷；溪谷,The valley.
valuable,贵重的；有价值的,Valuable.
value,价值；重要性,The value.
van,有篷汽车；有篷货运车厢,The van.
vanish,消失；绝迹,Vanish.
vanity,虚荣；空虚,The vanity.
variety,变化；多样化,Variety of.
various,各种各样的；不同的,Various.
vary,变化；改变,Vary.
vast,巨大的；广阔的,Vast.
vegetable,蔬菜；植物,The vegetable.
vehicle,交通工具；车辆,The vehicle.
venture,冒险；风险,The venture.
version,版本；译文,The version.
vertical,垂直的；纵向的,Vertical.
very,很；非常,Very good.
vessel,船；容器,The vessel.
vest,背心；内衣,The vest.
veteran,老兵；老手,The veteran.
via,通过；经由,Via.
vibrate,振动；摆动,Vibrate.
vice,副的；罪恶,The vice.
victim,牺牲者；受害者,The victim.
victory,胜利；战胜,The victory.
video,录像；视频,The video.
view,看法；视野,The view.
viewpoint,观点；看法,The viewpoint.
vigorous,精力旺盛的；有力的,Vigorous.
village,村庄；乡村,The village.
violence,暴力；暴行,The violence.
violent,猛烈的；激烈的,Violent.
violin,小提琴；小提琴手,The violin.
virtue,美德；优点,The virtue.
virus,病毒；病毒性疾病,The virus.
visible,看得见的；明显的,Visible.
vision,视力；视觉,The vision.
visit,访问；参观,Visit me.
visitor,访问者；参观者,The visitor.
visual,视觉的；看得见的,Visual.
vital,至关重要的；生死攸关的,Vital.
vitamin,维生素；维他命,Vitamin.
vivid,生动的；鲜艳的,Vivid.
vocabulary,词汇；词汇量,The vocabulary.
voice,声音；嗓音,The voice.
volcano,火山,The volcano.
volleyball,排球；排球运动,Play volleyball.
volt,伏特；电压,The volt.
voltage,电压；伏特数,The voltage.
volume,卷；体积,The volume.
voluntary,自愿的；志愿的,Voluntary.
volunteer,志愿者；志愿,The volunteer.
vote,投票；选举,Vote for.
voyage,航行；航海,The voyage.
wage,工资；报酬,The wage.
wait,等待；等候,Wait for.
waiter,侍者；服务员,The waiter.
wake,醒来；唤醒,Wake up.
walk,步行；散步,Walk with.
wall,墙；壁,The wall.
wallet,皮夹；钱夹,The wallet.
wander,漫步；徘徊,Wander.
want,想要；需要,Want it.
war,战争；斗争,The war.
warm,温暖的；暖和的,Warm.
warn,警告；提醒,Warn.
wash,洗；洗涤,Wash.
waste,浪费；废物,Waste.
watch,观看；手表,Watch.
water,水；浇水,Water.
wave,波浪；挥手,Wave.
way,方式；道路,Way.
we,我们，We.
weak,弱的；淡的,Weak.
weakness,弱点；软弱,Weakness.
wealth,财富；财产,Wealth.
wealthy,富有的；富裕的,Wealthy.
weapon,武器；兵器,Weapon.
wear,穿；戴,Wear.
weather,天气；气象,Weather.
weave,织；编,Weave.
wedding,婚礼；结婚,Wedding.
Wednesday,星期三，Wednesday.
week,星期；周,Week.
weekday,平日；工作日,Weekday.
weekend,周末,Weekend.
weekly,每周的；周刊,Weekly.
weep,哭泣；流泪,Weep.
weigh,称...的重量；重,Weigh.
weight,重量；体重,Weight.
welcome,欢迎；受欢迎的,Welcome.
welfare,福利；幸福,Welfare.
well,好；井,Well.
west,西；西方,West.
western,西方的；西部的,Western.
wet,湿的；潮的,Wet.
what,什么；所...的事，What.
whatever,无论什么；不管什么,Whatever.
wheat,小麦；麦类,Wheat.
wheel,轮；机轮,Wheel.
when,什么时候；当...时，When.
whenever,无论何时；每当，Whenever.
where,在哪里；到哪里，Where.
wherever,无论在哪里；无论到哪里，Wherever.
whether,是否；不管，Whether.
which,哪一个；哪些，Which.
whichever,无论哪个；无论哪些，Whichever.
while,当...的时候；然而，While.
whisper,低语；耳语，Whisper.
whistle,口哨；汽笛，Whistle.
white,白色的；白人，White.
who,谁；...的人，Who.
whoever,无论谁；不管什么人，Whoever.
whole,全部的；整体的，Whole.
whom,谁（宾格），Whom.
whose,谁的，Whose.
why,为什么，Why.
wide,宽的；广泛的，Wide.
widely,广泛地；大大地，Widely.
widespread,分布广的；普遍的，Widespread.
wife,妻子，Wife.
wild,野生的；荒凉的，Wild.
will,意志；遗嘱，Will.
willing,乐意的；自愿的，Willing.
win,获胜；赢得，Win.
wind,风；缠绕，Wind.
window,窗户；窗口，Window.
wine,葡萄酒；酒，Wine.
wing,翅膀；机翼，Wing.
winner,获胜者；优胜者，Winner.
winter,冬天；冬季，Winter.
wipe,擦；揩，Wipe.
wire,金属丝；电线，Wire.
wisdom,智慧；明智，Wisdom.
wise,明智的；聪明的，Wise.
wish,希望；祝愿，Wish.
with,和...一起；用，With.
withdraw,收回；撤退，Withdraw.
within,在...之内，Within.
without,没有；在...之外，Without.
witness,目击者；证据，Witness.
wolf,狼；色狼，Wolf.
woman,妇女；女人，Woman.
wonder,惊奇；想知道，Wonder.
wonderful,精彩的；极好的，Wonderful.
wood,木头；木材，Wood.
wool,羊毛；毛线，Wool.
word,词；单词，Word.
work,工作；劳动，Work.
worker,工人；工作者，Worker.
workplace,工作场所，Workplace.
workshop,车间；研讨会，Workshop.
world,世界；地球，World.
worldwide,遍及全球的；世界范围的，Worldwide.
worm,虫；蠕虫，Worm.
worn,用旧的；疲倦的，Worn.
worried,担心的；焦虑的，Worried.
worry,担心；烦恼，Worry.
worse,更坏的；更差的，Worse.
worst,最坏的；最差的，Worst.
worth,值得的；价值，Worth.
worthwhile,值得做的；值得花时间的，Worthwhile.
worthy,值得的；有价值的，Worthy.
would,将；愿意，Would.
wound,创伤；伤害，Wound.
wrap,包；裹，Wrap.
wrist,手腕；腕关节，Wrist.
write,写；书写，Write.
writer,作者；作家，Writer.
wrong,错误的；不对的，Wrong.
yard,院子；码，Yard.
year,年；年度，Year.
yearly,每年的；一年一次的，Yearly.
yell,叫喊；大喊，Yell.
yellow,黄色的；黄色，Yellow.
yes,是；是的，Yes.
yesterday,昨天；昨日，Yesterday.
yet,还；然而，Yet.
yield,产量；出产，Yield.
you,你；你们，You.
young,年轻的；青年的，Young.
your,你的；你们的，Your.
yours,你的；你们的，Yours.
yourself,你自己，Yourself.
youth,青春；青年，Youth.
zebra,斑马，Zebra.
zero,零；零点，Zero.
zone,区域；地带，Zone.
zoo,动物园，Zoo.
